"Timestamp","Your Gender","Your Nationality?","Where do you stay?","Your age?","Your current height in feet and inches? If, 6 feet 2 inches write 6'2"".","Did you exercise or play any sports?","Did you consume milk more than 4 times in a week?","Age of your mother when she gave you birth?","Your mother's height in feet and inches? If, 5 feet 4 inches write 5'4"".","Is your mother working?"
"2019/11/17 3:40:51 PM PST","Male","Chinese","USA","Greater than 20 years","5’8”","Yes","Yes","25-30 years","5’4”","Yes"
"2019/11/17 3:41:45 PM PST","Female","Chinese","USA","Greater than 20 years","5'2""","No","No","30-35 years","5'","No"
"2019/11/17 3:51:30 PM PST","Male","Chinese","USA","Greater than 20 years","5‘9”","Yes","No","20-25 years","5‘4”","Yes"
"2019/11/17 3:58:14 PM PST","Male","Indian","India","Greater than 20 years","5'6""","Yes","Yes","31-35 years","5'2""","No"
"2019/11/17 4:06:05 PM PST","Female","Chinese","USA","Greater than 20 years","5‘7”","Yes","I don't know","20-25 years","5‘7”","No"
"2019/11/17 4:08:45 PM PST","Male","Indian","USA","Greater than 20 years","5’7”","Yes","Yes","20-25 years","5’4”","Yes"
"2019/11/17 4:16:28 PM PST","Male","Chinese","USA","Greater than 20 years","6'","No","Yes","20-25 years","5'5''","Yes"
"2019/11/17 4:18:34 PM PST","Male","Indian","India","Greater than 20 years","5'8""","Yes","Yes","20-25 years","5'4""","No"
"2019/11/17 4:25:38 PM PST","Female","Indian","USA","Greater than 20 years","5'2""","No","No","26-30 years","5'0""","Yes"
"2019/11/17 4:59:53 PM PST","Male","Indian","USA","Greater than 20 years","6'","Yes","Yes","26-30 years","5'2""","No"
"2019/11/17 5:19:19 PM PST","Female","Indian","India","Greater than 20 years","5'1""","Yes","Yes","20-25 years","5'1""","Yes"
"2019/11/17 5:31:41 PM PST","Female","Indian","India","Greater than 20 years","5'3""","No","Yes","20-25 years","5'1""","No"
"2019/11/17 5:34:52 PM PST","Male","Indian","India","Greater than 20 years","5'9""","Yes","Yes","31-35 years","5'4""","Yes"
"2019/11/17 5:36:10 PM PST","Female","Indian","USA","Greater than 20 years","5'4""","No","Yes","26-30 years","5'5""","No"
"2019/11/17 5:38:31 PM PST","Male","Indian","USA","Greater than 20 years","5’3”","No","Yes","> 35 years","5’3”","Yes"
"2019/11/17 6:19:51 PM PST","Female","Indian","USA","Greater than 20 years","5'3""","Yes","Yes","26-30 years","5'2""","No"
"2019/11/17 7:01:20 PM PST","Male","Indian","India","Greater than 20 years","6'","Yes","Yes","26-30 years","5'3""","Yes"
"2019/11/17 7:15:09 PM PST","Male","Indian","USA","Greater than 20 years","5'11""","Yes","No","26-30 years","5'7""","Yes"
"2019/11/17 7:44:53 PM PST","Female","Chinese","USA","Greater than 20 years","5.8","Yes","Yes","26-30 years","5.6","Yes"
"2019/11/17 7:51:38 PM PST","Male","Indian","India","Greater than 20 years","5’11”","Yes","Yes","26-30 years","5’1”","No"
"2019/11/17 7:52:11 PM PST","Male","Chinese","USA","Greater than 20 years","5'9","Yes","Yes","26-30 years","5'1","Yes"
"2019/11/17 8:26:28 PM PST","Male","Indian","India","Greater than 20 years","6'1''","Yes","Yes","20-25 years","5'6''","Yes"
"2019/11/17 10:29:33 PM PST","Female","Chinese","China","Greater than 20 years","5.7","Yes","Yes","26-30 years","5’6","Yes"
"2019/11/17 10:53:47 PM PST","Female","Indian","USA","Greater than 20 years","5'2''","Yes","Yes","20-25 years","5'3.5""","Yes"
"2019/11/17 10:55:22 PM PST","Male","Indian","India","Greater than 20 years","6","Yes","Yes","31-35 years","5'5""","No"
"2019/11/17 11:19:24 PM PST","Male","Indian","USA","Greater than 20 years","5'7""","Yes","Yes","20-25 years","5'4""","No"
"2019/11/17 11:19:35 PM PST","Male","Indian","USA","Greater than 20 years","5'9""","No","Yes","I don't know","5'8""","Yes"
"2019/11/17 11:20:45 PM PST","Male","Indian","USA","Greater than 20 years","5'11""","Yes","Yes","31-35 years","5'2""","Yes"
"2019/11/17 11:20:57 PM PST","Female","Indian","India","Greater than 20 years","5'1","Yes","Yes","20-25 years","5'8","Yes"
"2019/11/17 11:29:39 PM PST","Male","Indian","USA","Greater than 20 years","5'4""","Attended a sports class","Yes","31-35 years","5'0""","No"
"2019/11/18 12:17:42 AM PST","Female","Indian","USA","Greater than 20 years","5’6’’","Yes","Yes","26-30 years","5’5’’","Yes"
"2019/11/18 12:47:22 AM PST","Female","Chinese","USA","Greater than 20 years","5'6""","Yes","No","20-25 years","5'5""","No"
"2019/11/18 8:04:50 AM PST","Male","Indian","USA","Greater than 20 years","5’8”","Yes","I don't know","26-30 years","5’5”","No"
"2019/11/18 6:32:18 PM PST","Female","Indian","India","Greater than 20 years","5'5""","No","No","26-30 years","5'5""","No"
"2019/11/18 8:45:32 PM PST","Female","Indian","India","Greater than 20 years","5’6”","Yes","Yes","20-25 years","5’4”","No"
"2019/11/18 9:10:01 PM PST","Male","Indian","India","Greater than 20 years","6'","Yes","Yes","I don't know","5'5""","No"
"2019/11/18 9:32:25 PM PST","Female","Indian","India","Greater than 20 years","5’6”","Yes","Yes","20-25 years","5’7”","Yes"
"2019/11/19 2:26:03 AM PST","Female","Indian","India","Greater than 20 years","5’4”","No","Yes","26-30 years","5’1” ","No"
"2019/11/19 4:30:40 AM PST","Female","Chinese","USA","Greater than 20 years","5‘2’‘","Yes","No","20-25 years","5‘2’‘","Yes"
"2019/11/19 8:27:57 AM PST","Female","Indian","India","Greater than 20 years","5’6”","Yes","Yes","20-25 years","5’7”","Yes"
"2019/11/19 12:35:43 PM PST","Male","Chinese","USA","Greater than 20 years","5‘7’‘","Yes","No","26-30 years","5‘3’‘","Yes"
"2019/11/19 12:39:58 PM PST","Female","Chinese","USA","Greater than 20 years","5‘8’‘","No","No","26-30 years","5‘7’‘","No"
"2019/11/19 12:41:47 PM PST","Male","Chinese","China","Greater than 20 years","6‘0’‘","No","No","31-35 years","5‘3’‘","Yes"
"2019/11/19 12:43:06 PM PST","Female","Chinese","USA","Greater than 20 years","5‘7’‘","No","Yes","26-30 years","5‘5’‘","Yes"
"2019/11/19 12:45:00 PM PST","Female","Chinese","USA","Greater than 20 years","5‘1’‘","No","No","20-25 years","5‘1’‘","Yes"
"2019/11/19 12:46:51 PM PST","Male","Chinese","USA","Greater than 20 years","5‘8’‘","Yes","No","> 35 years","5‘5’‘","Yes"
"2019/11/19 12:48:31 PM PST","Male","Chinese","USA","Greater than 20 years","5‘8’‘","Yes","Yes","20-25 years","5‘1’‘","Yes"
"2019/11/19 12:49:33 PM PST","Female","Chinese","USA","Greater than 20 years","5‘8’‘","No","No","26-30 years","5‘4’‘","Yes"
"2019/11/19 12:51:10 PM PST","Female","Chinese","USA","Greater than 20 years","5‘7’‘","No","No","26-30 years","5‘7’‘","Yes"
"2019/11/19 8:33:54 PM PST","Female","Chinese","China","Greater than 20 years","5.643","No","Yes","26-30 years","5.446","Yes"
"2019/11/19 8:40:56 PM PST","Female","Chinese","China","Greater than 20 years","5.512","Yes","Yes","26-30 years","5.446","Yes"
"2019/11/19 8:42:27 PM PST","Male","Chinese","China","Greater than 20 years","5.840","Yes","No","26-30 years","5.184","Yes"
"2019/11/19 8:43:32 PM PST","Female","Chinese","China","Greater than 20 years","5.446","Yes","No","26-30 years","5.512","No"
"2019/11/19 8:44:35 PM PST","Female","Chinese","China","Greater than 20 years","5.479","Yes","Yes","20-25 years","5.085","No"
"2019/11/19 8:45:31 PM PST","Female","Chinese","China","Greater than 20 years","5.479","Yes","Yes","20-25 years","5.085","No"
"2019/11/19 8:46:17 PM PST","Female","Indian","India","Greater than 20 years","5'6''","No","Yes","26-30 years","5'7''","No"
"2019/11/19 8:46:44 PM PST","Female","Chinese","China","Greater than 20 years","5.348","Yes","No","20-25 years","5.085","Yes"
"2019/11/19 8:47:47 PM PST","Female","Chinese","China","Greater than 20 years","5.184","No","No","31-35 years","5.413","Yes"
